Term,Original Definition,Published Definition,Publish to DevHub,Keywords,Type,Scope,Scope URL,Synonyms,Related Term,Business Context (level 1),Citations,Verified Definition,Team Source - Temp,Comments,StaticId,Name,Example,Schema Type,Schema Constraints,Breaking Change
Access Control,"Access control is a set of security measures that regulate who can access a system, services, data, or resource. Access control policies use authentication and authorization to verify users and enable access.","Access control is a set of security measures that regulate who can access a system, services, data, or resource. Access control policies use authentication and authorization to verify users and enable access.",Yes,,Privacy and Security,API Program Services,,,,,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,"APS,EFV",,a3ac060a-be57-4e70-af4c-bb7bd91bc7aa,access-control,,string,
Accuracy,Accuracy measures the degree to which data describes the real-world phenomena it is intended to represent.,Accuracy measures the degree to which data describes the real-world phenomena it is intended to represent.,Yes,,Data Management,Draft Data Quality Assessment Standard,,,,,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/POL%20Data%20Quality%20Assessment%20Standard/Data%20Quality%20Assessment%20Standard%20LIVING%20DRAFT.docx?d=wf42c4603823f4db58cb5f3efa2b9c321&csf=1&web=1&e=8oQ9Mq,Yes,ADR,,3579f8c6-c509-46c1-85fd-8cd7cc9ba94e,accuracy,99.8,number,"{""minimum"":0,""maximum"":100}"
API Catalogue,"A listing of application programming interfaces and exchange contracts with metadata, intended for use by a software developer.","A listing of application programming interfaces and exchange contracts with metadata, intended for use by a software developer.",Yes,,Technical,API Program Services,,,,,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,APS,,a03ab4ed-6a49-44c9-8b29-4116c791755e,api-catalogue,,string,
API Consumer,Organizations that integrate application programming interfaces into their business applications.,"An organization, system, service, or application that uses an API to access data or functionality provided by another system or service.",Yes,,Integration,API Program Services,,,,,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,APS,,14d52ba4-04bd-4544-9694-0b77ec92898a,api-consumer,,string,
API Gateway,"A technology platform that acts as a single entry point for multiple application programming interfaces, managing requests, routing, security, and other operations, simplifying and centralizing API management.","A technology platform that acts as a single entry point for multiple application programming interfaces, managing requests, routing, security, and other operations, simplifying and centralizing API management.",Yes,,Technical,API Program Services,,,,,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,APS,,536d22a7-1e3e-4b94-8b88-5d50fd8a678e,api-gateway,,string,
Applicant,(a) The person named on a land title form as the person acquiring an interest in land. (b) The person named as applicant in the application section is the person with whom land title staff is authorized to communicate with regarding an application.,(a) The person named on a land title form as the person acquiring an interest in land. (b) The person named as applicant in the application section is the person with whom land title staff is authorized to communicate with regarding an application.,Yes,,Business,Land Title and Survey Authority of British Columbia,https://ltsa.ca/property-owners/about-land-records/glossary/,,,People,https://ltsa.ca/property-owners/about-land-records/glossary/,Yes,ADR,,6d09e4b9-04df-48c4-95c4-d8035b8d9328,applicant,,string,
Application Programming Interface,An Application Programming Interface (API) is a software-to-software interface that provides a secure and standardized way for applications to communicate with each other to deliver requested data without user intervention.,An Application Programming Interface (API) is a software-to-software interface that provides a secure and standardized way for applications to communicate with each other to deliver requested data without user intervention.,Yes,,Integration,API Program Services,,,,,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,APS,,ac7b67d1-bbd9-4097-8e07-701903610a2b,application-programming-interface-api,,string,
Audit Event,"A signed, immutable log entry recording access or transfer events.","A signed, immutable log entry recording access or transfer events.",Yes,,Technical,API Program Services,,,,,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,APS,,daee9848-5a5a-4c25-a7ec-64c424cf1047,audit-event,,string,
Authentication,"Authentication is a security process for verifying the identity of a user or device before allowing access to a system, resource, or function. Authentication validates that a user or system is who they claim to be.","Authentication is a security process for verifying the identity of a user or device before allowing access to a system, resource, or function. Authentication validates that a user or system is who they claim to be.",Yes,,Privacy and Security,API Program Services,,,,,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,APS,,50fdc0b5-b936-409c-b536-d29ed4ab372b,authentication,,string,
Authentication Type,"Method used to verify the identity of a user or system, such as passwords, tokens, OAuth, API keys, or multi-factor authentication patterns.","Method used to verify the identity of a user or system, such as passwords, tokens, OAuth, API keys, or multi-factor authentication patterns.",Yes,Security,Privacy and Security,API Program Services,,,,,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,APS,,9183d44e-880a-4160-b801-707917861775,authentication-type,Bearer token,string,
Authoritative Data,"Data located in any repository system that is recognized through governance, law, or common acceptance as the source of origin for accurate data on a specific topic. Authoritative Data may be stored or referenced in a Data Register. ","Data located in any repository system that is recognized through governance, law, or common acceptance as the source of origin for accurate data on a specific topic. Authoritative Data may be stored or referenced in a Data Register. ",Yes,,Data,Data Management Policy,https://www2.gov.bc.ca/gov/content?id=706EBC0C26B146EBB8641813DB32946B,,,,https://www2.gov.bc.ca/gov/content?id=706EBC0C26B146EBB8641813DB32946B,Yes,ADR,,290f03fc-dde3-492e-bead-a334a01a26b2,authoritative-data,,string,
Authoritative Data Directory,The publicly accessible list of datasets that are designated authoritative through the corporate data governance process. This information is published in the BC Data Catalogue.,The publicly accessible list of datasets that are designated authoritative through the corporate data governance process. This information is published in the BC Data Catalogue.,Yes,,Data Management,Draft Data Register Standard,,,,,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/POL%20Data%20Register%20Standard/Endorsements/Data%20Register%20Standard%20DRAFT.docx?d=w2902afec895d43408463adacd02decd3&csf=1&web=1&e=QEg5Tp,Yes,ADR,Cross check latest DR Standard definition.,9b8da4a0-109b-49cc-bf26-b084e355f14c,authoritative-data-directory,,string,
Authorization,"Authorization is a security process for providing a user or device with access to a requested system, resource, or function based on permissions. Authorization is provided only after a user or device has been authenticated.","Authorization is a security process for providing a user or device with access to a requested system, resource, or function based on permissions. Authorization is provided only after a user or device has been authenticated e.g. IDIR.",Yes,Security,Privacy and Security,API Program Services,,,,,https://developer.gov.bc.ca/docs/default/component/aps-infra-platform-docs/reference/glossary/,Yes,APS,,fb1799f6-ad3b-49ee-8746-bdaa4f72db2c,authorization,,string,
Authorizing Authority,"The entity that confirms legal basis, consent, or program authority for an exchange.","The entity responsible for confirming that a data exchange has the required legal basis, consent, delegation, or policy authority to proceed.",Yes,,Privacy and Security,API Program Services,,,,,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/APS+Terminology+Glossary+-+2026,Yes,APS,,831d3232-aaa5-4986-b522-4539b0811355,authorizing-authority,,string,
Birth Date,"Birth Date from the BCSC.
The individual's documented birth date recorded from valid identification.",The individual's documented birth date recorded from valid identification.,Yes,,Business,BC Registries and Online Services,https://www2.gov.bc.ca/gov/content?id=68646C26E4C241B09B60AE892FEEA829,,,People,"https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/UC%20DATA/DATA%20IAS/BCSC%20documents/BC%20services%20card%20-%20data%20attribute%20it%20has%20-%20PIA.docx?d=w407a76177ed24f649134baaf73c3f5d3&csf=1&web=1&e=kOpEf9
https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/citizens-services/bc-registries-online-services",No,ADR,waiting definition from Marcos Carrere,a952de7f-f34b-4941-b896-930e330cecbf,birth-date,1990-05-21,string,"{""format"":""date""}"
Central government agencies,"There are many independent or partially independent agencies, boards and commissions that are essential to effectively governing the province. Agencies include authorities, boards, commissions, corporations and councils. A public agency also includes any bodies established by the government on an interim basis to perform arbitration, regulation or similar functions.","There are many independent or partially independent agencies, boards and commissions that are essential to effectively governing the province. Agencies include authorities, boards, commissions, corporations and councils. A public agency also includes any bodies established by the government on an interim basis to perform arbitration, regulation or similar functions.",Yes,,Business,Government Structure,https://www2.gov.bc.ca/gov/content?id=F024503C72F64D8380441972977188D6,,,Government,https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations,Yes,ADR,,59c70873-115e-40f5-87d8-34abe3072752,central-government-agencies,,string,
Certificate Authority,"A Certificate Authority (CA) is a trusted organization that provides/issues digital certificates to websites, businesses, and individuals. This establishes trust between users and websites by ensuring that sensitive data remains private.  ","A Certificate Authority (CA) is a trusted organization that provides/issues digital certificates to websites, businesses, and individuals. This establishes trust between users and websites by ensuring that sensitive data remains private.  ",Yes,"Security,SDX",Privacy and Security,API Program Services,https://www.digicert.com/blog/what-is-a-certificate-authority,,,,"https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1338442522/ADR-013+Private+Certificate+Authority
https://www.digicert.com/blog/what-is-a-certificate-authority",Yes,APS,,f22f5bd4-08c5-4c82-86d3-a267014d5158,certificate-authority-ca,,string,
Channel,"The transport mode used for an exchange: Pull API, Push Webhook, Message Queue, Batch File, or Streaming.","The transport mode used for an exchange: Pull API, Push Webhook, Message Queue, Batch File, or Streaming.",Yes,,Integration,API Program Services,,,,,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/edit-v2/1389330560,Yes,APS,,24717e39-b997-44ff-8a2b-aacbaa425569,channel,Pull API,string,
Child,A resident of B.C. who meets all of the following conditions:Is a child of a beneficiary or a person who stands in place of a parentWho is a minorDoes not have a spouseIs supported by the beneficiary,A resident of B.C. who meets all of the following conditions:Is a child of a beneficiary or a person who stands in place of a parentWho is a minorDoes not have a spouseIs supported by the beneficiary,Yes,,Business,Medical Services Plan,https://www2.gov.bc.ca/gov/content?id=A24BB960F5234630BCB9DE847EEFD07B,,,HealthPeople,https://www2.gov.bc.ca/gov/content/health/health-drug-coverage/msp/bc-residents/eligibility-and-enrolment/are-you-eligible#dependents,Yes,ADR,,4cae3d1b-fbb0-4a76-8d38-548fffbd5cf0,child,,string,
Completeness,"The proportion of stored data against the definition of “100% complete”. Completeness is contextual to the purpose for data collection (for example, is the scope of collection the whole province or a region?)","The proportion of stored data against the definition of “100% complete”. Completeness is contextual to the purpose for data collection (for example, is the scope of collection the whole province or a region?)",Yes,,Data Management,Draft Data Quality Assessment Standard,,,,,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/POL%20Data%20Quality%20Assessment%20Standard/Data%20Quality%20Assessment%20Standard%20LIVING%20DRAFT.docx?d=wf42c4603823f4db58cb5f3efa2b9c321&csf=1&web=1&e=8oQ9Mq,Yes,ADR,,cd363ff3-d8e6-4013-beaf-892fe3ab8583,completeness,98.5,number,"{""minimum"":0,""maximum"":100}"
Connected Services Data Dictionary,The centralized repository documenting technical metadata for Connected Services data elements. ,The centralized repository documenting technical metadata for Connected Services data elements. ,Yes,,Data Management,Draft Data Register Standard,,,,,https://bcgov.sharepoint.com/:w:/r/teams/00108/Shared%20Documents/TM_ADR/POL%20Data%20Register%20Standard/Endorsements/Data%20Register%20Standard%20DRAFT.docx?d=w2902afec895d43408463adacd02decd3&csf=1&web=1&e=QEg5Tp,Yes,ADR,,3147c042-f3a4-4bd8-a1f2-07f1b4c8a4e3,connected-services-data-dictionary,,string,
